"TT","MaxValue","log_MaxValue","TT_numeric"
"TT_240",0.092372795894929,-2.38192276040516,240
"TT_241",0.0825262488347316,-2.49463886855239,241
"TT_242",0.245676976953912,-1.40373770773677,242
"TT_243",0.356478709531714,-1.0314807617198,243
"TT_244",0.280053430076576,-1.27277487231497,244
"TT_245",0.097270603028932,-2.33025846258333,245
"TT_246",0.0848187386165733,-2.46723878634345,246
"TT_247",0.0791436124207487,-2.53649119811325,247
"TT_248",0.075677080284057,-2.58127993473885,248
"TT_249",0.177054165852941,-1.73129957145539,249
"TT_250",0.146527750378785,-1.92054044608238,250
"TT_251",0.613404094208175,-0.488731352710347,251
"TT_252",0.166876920171766,-1.79049874324654,252
"TT_253",0.118208781397938,-2.13530288406295,253
"TT_254",0.099828892578459,-2.30429763276897,254
"TT_255",0.0901411876183354,-2.406378086542,255
"TT_256",0.0841630060473423,-2.47499981238748,256
"TT_257",0.0801102514434064,-2.52435145003321,257
"TT_258",0.276857338928994,-1.28425292738113,258
"TT_259",0.12383991852386,-2.08876552705551,259
"TT_260",0.0978764921144268,-2.32404887968468,260
"TT_261",0.0883122365380014,-2.42687660183411,261
"TT_262",0.254013669765667,-1.37036719543667,262
"TT_263",0.130984364485863,-2.03267731797412,263
"TT_264",0.341785009897433,-1.07357336561862,264
"TT_265",0.186377809478557,-1.67997943167922,265
"TT_266",0.224715205243252,-1.49292143299596,266
"TT_267",0.111482394337582,-2.19388859886686,267
"TT_268",0.097823851595718,-2.32458685032878,268
"TT_269",0.3794715680175,-0.968975604538045,269
"TT_270",0.143083457097045,-1.9443272028966,270
"TT_271",0.101926432455646,-2.28350397635894,271
"TT_272",0.088312155684025,-2.42687751738123,272
"TT_273",0.08218338061292,-2.49880217968618,273
"TT_274",0.0808314604452517,-2.5153890272906,274
"TT_275",0.0797022761996231,-2.52945713400002,275
"TT_276",0.078741850522208,-2.54158049206366,276
"TT_277",0.0779125203668202,-2.55216861544088,277
"TT_278",0.0771871844799404,-2.56152183987747,278
"TT_279",0.197641427734913,-1.6213008611139,279
"TT_280",1.05177968259499,0.0504836651915072,280
"TT_281",0.455673598615691,-0.785978518278972,281
"TT_282",0.21142109621829,-1.55390341762862,282
"TT_283",0.158225988660206,-1.84373095989531,283
"TT_284",0.133374274559474,-2.01459600847924,284
"TT_285",0.118755617289939,-2.13068753369194,285
"TT_286",0.270633432911685,-1.30699001983629,286
"TT_287",0.125802247687067,-2.07304406772862,287
"TT_288",0.0971089698488855,-2.33192153051694,288
"TT_289",0.093131388373298,-2.37374400465356,289
"TT_290",0.0899557737090607,-2.40843713266267,290
"TT_291",0.087361639568851,-2.4376989992032,291
"TT_292",0.0852024996318439,-2.46272450717531,292
"TT_293",0.0833772213337551,-2.48438013241754,293
"TT_294",0.0818137369169346,-2.50331011650274,294
"TT_295",0.080459305957822,-2.52000373842584,295
"TT_296",0.385522260337146,-0.953156343580648,296
"TT_297",0.161327338865644,-1.82431981741537,297
